Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude,new_color_1,new_color_2,density
1,1.0,2,2,1,1,1,2,1,2,32.8021218,-96.81493751,8,0,1882.7
0,1.0,2,2,2,1,1,2,1,2,29.42798785,-98.49924331,1,0,1260.9
1,1.0,3,1,2,1,1,2,1,2,40.2478922,-111.6656924,9,0,2877.1
1,1.0,3,2,1,3,3,2,1,2,40.7682218,-111.8610787,8,0,2737.4
1,1.0,3,2,2,2,3,1,2,2,41.18476105,-111.9540829,9,0,818.6
1,1.0,3,2,3,1,1,2,1,2,41.16367875,-111.9706043,7,0,2737.4
1,1.0,5,0,3,3,3,2,2,0,40.77906595,-111.8792891,8,0,1754.6
1,1.0,1,3,1,1,1,1,1,2,37.69959275,-113.0664526,1,0,1296.8
1,1.0,2,2,1,2,2,2,1,3,40.65955675,-111.8911598,8,0,1108.7
1,1.0,2,2,3,1,1,1,1,0,39.6046965,-110.8327617,2,0,3184.7
1,1.0,2,2,2,2,1,1,1,0,44.6380807,-121.1207428,2,0,2737.4
1,1.0,2,3,2,2,1,2,2,2,41.75604505,-111.8216299,5,0,2172.6
1,1.0,2,1,3,1,1,1,1,1,41.49093165,-112.0257744,5,0,2783.5
1,1.0,1,2,3,1,1,2,1,1,40.30410535,-109.9961293,3,0,1182.9
1,1.0,3,1,2,2,1,2,1,2,35.14188275,-90.03160815,9,0,3517.5
1,1.0,3,2,0,2,1,1,3,2,37.8264235,-112.426912,9,0,7030.7
1,1.0,2,2,1,2,1,3,1,2,41.09126395,-111.9953546,9,0,1122.8
1,1.0,2,2,0,2,1,2,1,1,40.8861168,-111.8694188,1,0,1254.6
1,1.0,2,0,0,2,1,1,1,2,40.30261475,-111.7080266,0,0,261.5
0,1.0,3,0,2,2,1,2,0,0,51.5764718,-0.3216286,9,0,2049.4
1,1.0,3,1,3,2,1,2,1,2,40.64416085,-111.8855327,5,0,2665.3
1,1.0,4,1,1,3,2,1,1,2,40.6991006,-111.9906657,8,0,2313.2
1,1.0,4,2,2,3,3,2,1,2,40.31389645,-111.7137418,9,0,2422.2
1,1.0,2,2,2,1,1,2,1,2,41.775261,-111.8215794,9,0,1455.9
1,1.0,3,1,3,1,3,3,1,1,40.68808245,-111.4690156,8,0,7030.7
1,1.0,2,2,2,1,1,2,1,1,40.52046305,-111.98016,9,0,1038.8
1,1.0,3,2,3,3,1,2,2,2,40.5351779,-111.8889685,9,0,7030.7
1,1.0,2,3,2,1,1,3,1,2,39.3500476,-112.5612592,5,0,1955.8
1,1.0,3,1,2,2,1,1,1,0,38.9545544,-112.3402532,5,0,3999.2
1,1.0,3,1,3,2,1,2,2,2,38.57506225,-109.5593924,5,0,3184.7
1,1.0,3,2,2,2,2,2,1,2,38.40737415,-113.009009,8,0,1499.7
1,1.0,2,3,1,3,2,2,1,2,39.1560649,-111.8165198,9,0,1801.3
1,1.0,4,2,2,3,2,2,2,2,40.49028625,-111.4059198,9,0,1579.4
1,1.0,4,2,2,3,2,2,2,2,37.8745603,-109.3494935,8,0,740.9
1,1.0,4,1,3,1,1,2,2,1,37.0543718,-112.5295701,7,0,3184.7
1,1.0,4,2,3,3,1,2,1,2,44.4171771,-118.9598518,9,0,1255.1
1,1.0,3,2,3,3,2,2,2,2,38.2750396,-112.6347816,5,0,1362.5
1,1.0,3,0,2,0,1,2,0,0,44.2204972,-72.56080422,8,0,1639.7
1,1.0,2,2,1,1,1,2,1,3,44.47849285,-73.19291917,8,0,1967.6
1,1.0,2,2,2,2,1,2,1,0,43.5977388,-72.95629209,9,0,704.1
